customer_id,first_name,last_name,email,signup_date,region
1,First_1,Last_1,user1@example.com,2020-01-01,Northeast
2,First_2,Last_2,user2@example.com,2020-01-02,South
3,First_3,Last_3,user3@example.com,2020-01-03,South
4,First_4,Last_4,user4@example.com,2020-01-04,Northeast
5,First_5,Last_5,user5@example.com,2020-01-05,West
6,First_6,Last_6,user6@example.com,2020-01-06,South
7,First_7,Last_7,user7@example.com,2020-01-07,Northeast
8,First_8,Last_8,user8@example.com,2020-01-08,Northeast
9,First_9,Last_9,user9@example.com,2020-01-09,West
10,First_10,Last_10,user10@example.com,2020-01-10,Midwest
11,First_11,Last_11,user11@example.com,2020-01-11,South
12,First_12,Last_12,user12@example.com,2020-01-12,West
13,First_13,Last_13,user13@example.com,2020-01-13,Northeast
14,First_14,Last_14,user14@example.com,2020-01-14,Northeast
15,First_15,Last_15,user15@example.com,2020-01-15,West
16,First_16,Last_16,user16@example.com,2020-01-16,South
17,First_17,Last_17,user17@example.com,2020-01-17,Midwest
18,First_18,Last_18,user18@example.com,2020-01-18,Midwest
19,First_19,Last_19,user19@example.com,2020-01-19,Northeast
20,First_20,Last_20,user20@example.com,2020-01-20,South
21,First_21,Last_21,user21@example.com,2020-01-21,Midwest
22,First_22,Last_22,user22@example.com,2020-01-22,South
23,First_23,Last_23,user23@example.com,2020-01-23,South
24,First_24,Last_24,user24@example.com,2020-01-24,Northeast
25,First_25,Last_25,user25@example.com,2020-01-25,Midwest
26,First_26,Last_26,user26@example.com,2020-01-26,West
27,First_27,Last_27,user27@example.com,2020-01-27,Northeast
28,First_28,Last_28,user28@example.com,2020-01-28,Midwest
29,First_29,Last_29,user29@example.com,2020-01-29,Midwest
30,First_30,Last_30,user30@example.com,2020-01-30,Midwest
31,First_31,Last_31,user31@example.com,2020-01-31,Midwest
32,First_32,Last_32,user32@example.com,2020-02-01,Midwest
33,First_33,Last_33,user33@example.com,2020-02-02,South
34,First_34,Last_34,user34@example.com,2020-02-03,Northeast
35,First_35,Last_35,user35@example.com,2020-02-04,South
36,First_36,Last_36,user36@example.com,2020-02-05,West
37,First_37,Last_37,user37@example.com,2020-02-06,Midwest
38,First_38,Last_38,user38@example.com,2020-02-07,Northeast
39,First_39,Last_39,user39@example.com,2020-02-08,Midwest
40,First_40,Last_40,user40@example.com,2020-02-09,Northeast
41,First_41,Last_41,user41@example.com,2020-02-10,South
42,First_42,Last_42,user42@example.com,2020-02-11,Northeast
43,First_43,Last_43,user43@example.com,2020-02-12,West
44,First_44,Last_44,user44@example.com,2020-02-13,West
45,First_45,Last_45,user45@example.com,2020-02-14,Northeast
46,First_46,Last_46,user46@example.com,2020-02-15,Northeast
47,First_47,Last_47,user47@example.com,2020-02-16,Northeast
48,First_48,Last_48,user48@example.com,2020-02-17,Northeast
49,First_49,Last_49,user49@example.com,2020-02-18,West
50,First_50,Last_50,user50@example.com,2020-02-19,Midwest
51,First_51,Last_51,user51@example.com,2020-02-20,Northeast
52,First_52,Last_52,user52@example.com,2020-02-21,Northeast
53,First_53,Last_53,user53@example.com,2020-02-22,West
54,First_54,Last_54,user54@example.com,2020-02-23,West
